Date,Length of Night (hr),Time Lost (hr),% Time Lost,Total Losses (days),% Total Loss
10-22,12.4,92.8,0.34,4,0.18
10-23,12.4,81.6,0.3,2,0.09
10-24,12.5,59.2,0.22,2,0.09
10-25,12.5,48.0,0.17,1,0.05
10-26,12.5,70.4,0.26,4,0.18
10-27,12.5,81.6,0.3,6,0.27
10-28,12.5,70.4,0.26,3,0.14
10-29,12.6,104.0,0.38,4,0.18
10-30,12.6,92.8,0.33,3,0.14
10-31,12.6,36.8,0.13,5,0.23
11-01,12.6,81.6,0.29,4,0.18
11-02,12.6,81.6,0.29,6,0.27
11-03,12.6,104.0,0.38,5,0.23
11-04,12.6,81.6,0.29,6,0.27
11-05,12.7,92.8,0.33,5,0.23
11-06,12.7,70.4,0.25,3,0.14
11-07,12.7,104.0,0.37,5,0.23
11-08,12.7,81.6,0.29,2,0.09
11-09,12.7,59.2,0.21,5,0.23
11-10,12.7,59.2,0.21,3,0.14
11-11,12.8,59.2,0.21,3,0.14
11-12,12.8,59.2,0.21,4,0.18
11-13,12.8,48.0,0.17,3,0.14
11-14,12.8,70.4,0.25,5,0.23
11-15,12.8,126.2,0.45,7,0.32
11-16,12.8,137.4,0.49,6,0.27
11-17,12.8,115.1,0.41,5,0.23
11-18,12.8,81.6,0.29,5,0.23
11-19,12.8,104.0,0.37,7,0.32
11-20,12.9,81.6,0.29,7,0.32
11-21,12.9,92.8,0.33,6,0.27
11-22,12.9,81.6,0.29,7,0.32
11-23,12.9,92.8,0.33,6,0.27
11-24,12.9,126.2,0.44,5,0.23
11-25,12.9,92.8,0.33,6,0.27
11-26,12.9,92.8,0.33,7,0.32
11-27,13.0,115.1,0.4,4,0.18
11-28,13.0,115.1,0.4,5,0.23
11-29,13.0,92.8,0.32,4,0.18
11-30,13.0,70.4,0.25,2,0.09
12-01,13.0,81.6,0.29,6,0.27
12-02,13.0,115.1,0.4,9,0.41
12-03,13.0,115.1,0.4,8,0.36
12-04,13.0,137.4,0.48,7,0.32
12-05,13.0,115.1,0.4,11,0.5
12-06,13.0,126.2,0.44,5,0.23
12-07,13.0,81.6,0.29,9,0.41
12-08,13.0,104.0,0.36,9,0.41
12-09,13.0,126.2,0.44,8,0.36
12-10,13.0,104.0,0.36,7,0.32
12-11,13.0,115.1,0.4,5,0.23
12-12,13.0,48.0,0.17,8,0.36
12-13,13.0,70.4,0.25,5,0.23
12-14,13.0,70.4,0.25,5,0.23
12-15,13.0,48.0,0.17,5,0.23
12-16,13.0,70.4,0.25,4,0.18
12-17,13.0,92.8,0.32,1,0.05
12-18,13.0,48.0,0.17,1,0.05
12-19,13.0,70.4,0.25,2,0.09
12-20,13.0,92.8,0.32,4,0.18
12-21,13.0,92.8,0.32,7,0.32
12-22,13.0,137.4,0.48,10,0.45
12-23,13.0,137.4,0.48,10,0.45
12-24,13.0,137.4,0.48,8,0.36
12-25,13.0,92.8,0.32,8,0.36
12-26,13.0,126.2,0.44,8,0.36
12-27,13.0,115.1,0.4,7,0.32
12-28,13.0,70.4,0.25,11,0.5
12-29,13.0,126.2,0.44,8,0.36
12-30,13.0,104.0,0.36,10,0.45
12-31,13.0,115.1,0.4,8,0.36
