time_utc,18_evening,12_evening,6_evening,18_morning,12_morning,6_morning
2024-09-12,2460565.736883037,2460565.7189042782,2460565.701039435,2460566.1216673944,2460566.1396525432,2460566.157524287
2024-09-13,2460566.736199795,2460566.7182447053,2460566.70039696,2460567.121855469,2460567.1398177547,2460567.157673225
2024-09-14,2460567.7355175517,2460567.7175851394,2460567.6997535722,2460568.1220405204,2460568.139980971,2460568.1578209307
2024-09-15,2460568.734836834,2460568.716925915,2460568.699109596,2460569.122222726,2460569.140142374,2460569.1579677043
2024-09-16,2460569.734159507,2460569.716267374,2460569.698465366,2460570.122402282,2460570.140302165,2460570.158113819
2024-09-17,2460570.7334840815,2460570.7156098657,2460570.697821223,2460571.122579407,2460571.1404605643,2460571.1582595
2024-09-18,2460571.7328109182,2460571.714953745,2460571.697177515,2460572.122754332,2460572.1406178046,2460572.1584049836
2024-09-19,2460572.7321403776,2460572.7143000863,2460572.696534589,2460573.122927298,2460573.140774129,2460573.158550516
2024-09-20,2460573.7314728214,2460573.7136487085,2460573.6958927955,2460574.123098545,2460574.140929777,2460574.1586963385
2024-09-21,2460574.730808605,2460574.7129996517,2460574.6952524814,2460575.1232683053,2460575.141084982,2460575.1588426856
2024-09-22,2460575.7301480793,2460575.712353262,2460575.694613998,2460576.1234367965,2460576.14123996,2460576.1589897755
2024-09-23,2460576.729491585,2460576.711709876,2460576.6939779734,2460577.1236042217,2460577.141394914,2460577.159137811
2024-09-24,2460577.728839454,2460577.7110698223,2460577.6933443192,2460578.1237707715,2460578.1415500324,2460578.1592869805
2024-09-25,2460578.7281920062,2460578.7104334203,2460578.692713352,2460579.1239366243,2460579.1417054916,2460579.1594374604
2024-09-26,2460579.727550449,2460579.7098009796,2460579.69208538,2460580.1241019517,2460580.1418614606,2460580.1595894187
2024-09-27,2460580.7269140584,2460580.7091728025,2460580.691460707,2460581.1242667898,2460581.142018101,2460581.1597430147
2024-09-28,2460581.7262831256,2460581.708549184,2460581.6908396287,2460582.1244313885,2460582.1421755697,2460582.159898402
2024-09-29,2460582.7256579394,2460582.7079304624,2460582.690222435,2460583.124595984,2460583.142334019,2460583.160055731
2024-09-30,2460583.7250387846,2460583.707317005,2460583.6896094144,2460584.1247607297,2460584.142493599,2460584.1602151473
2024-10-01,2460584.724425939,2460584.7067088503,2460584.689000849,2460585.124925779,2460585.1426544567,2460585.160376793
2024-10-02,2460585.7238196777,2460585.7061062767,2460585.6883970206,2460586.1250912845,2460586.1428167387,2460586.1605408094
2024-10-03,2460586.723220271,2460586.7055095593,2460586.6877981406,2460587.125257395,2460587.1429805877,2460587.1607073327
2024-10-04,2460587.722627984,2460587.70491897,2460587.6872042324,2460588.1254242607,2460588.1431461456,2460588.1608764986
2024-10-05,2460588.722043079,2460588.7043347773,2460588.686615796,2460589.1255920315,2460589.143313554,2460589.16104844
2024-10-06,2460589.7214658186,2460589.7037572507,2460589.6860331064,2460590.1257608566,2460590.143482953,2460590.161223289
2024-10-07,2460590.7208965174,2460590.7031866554,2460590.685456439,2460591.1259308862,2460591.1436544834,2460591.1614011773
2024-10-08,2460591.7203352717,2460591.7026232593,2460591.6848860704,2460592.126102274,2460592.143828287,2460592.161582237
2024-10-09,2460592.7197823413,2460592.702067329,2460592.684322278,2460593.126275173,2460593.1440045065,2460593.1617665994
