Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,,,,,,,,,,,,,,,,,,,,TOI-1670,TOI-1670,,,,,,,,,,,,,,,Kepler-10,Kepler-10,,,,HAT-P-11,,,,219134,HIP1532,,,,,,,,,,,,,,,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,191939,HAT-P-11,,,,,,,,,,,,,,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,WX,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,TOI-1670,TOI-1670,,,,,,,,,,,,,Kepler-10,Kepler-10,,,,,,,,HAT-P-11,51Pegasi,,,,,,,,,,,,,,,,,,219134,,,HIP1532,KELT-2,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,HAT-P-11,,51Pegasi,,,,,,,,,,,,,,,,,219134,,HIP1532,,,KELT-2,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
