,time_utc,18_evening,12_evening,6_evening,18_morning,12_morning,6_morning
2024-08-19,2024-08-19,2460541.7528485316,2460541.734036877,2460541.715519545,2460542.115986394,2460542.134793982,2460542.153311756
2024-08-20,2024-08-20,2460542.7522273804,2460542.7334600207,2460542.714976102,2460543.11627368,2460543.1350372024,2460543.1535195066
2024-08-21,2024-08-21,2460543.751599679,2460543.7328760973,2460543.7144265603,2460544.1165563585,2460544.135276458,2460544.1537238606
2024-08-22,2024-08-22,2460544.750965788,2460544.732285437,2460544.7138706553,2460545.11683448,2460545.1355118286,2460545.1539249215
2024-08-23,2024-08-23,2460545.750326068,2460545.73168837,2460545.713307803,2460546.117108094,2460546.135743391,2460546.154122792
2024-08-24,2024-08-24,2460546.749680875,2460546.7310852213,2460546.7127383035,2460547.117377243,2460547.1359712137,2460547.1543175653
2024-08-25,2024-08-25,2460547.7490305575,2460547.7304763123,2460547.712162452,2460548.117640758,2460548.1361953574,2460548.1545093246
2024-08-26,2024-08-26,2460548.748375461,2460548.7298619575,2460548.711580537,2460549.117899508,2460549.1364158723,2460549.154698143
2024-08-27,2024-08-27,2460549.747719531,2460549.729242465,2460549.710992841,2460550.118153974,2460550.1366328,2460550.154884084
2024-08-28,2024-08-28,2460550.7470596875,2460550.728618136,2460550.7103996426,2460551.1184041686,2460551.1368461805,2460551.1550672096
2024-08-29,2024-08-29,2460551.746395927,2460551.7279901067,2460551.709801213,2460552.1186501062,2460552.1370560504,2460552.1552475765
2024-08-30,2024-08-30,2460552.7457285626,2460552.727359585,2460552.7091978216,2460553.1188918026,2460553.137262448,2460553.1554252435
2024-08-31,2024-08-31,2460553.7450579056,2460553.726725,2460553.708589736,2460554.119129277,2460554.137465416,2460554.1556002707
2024-09-01,2024-09-01,2460554.7443842646,2460554.726086635,2460554.7079774416,2460555.1193625554,2460555.137664692,2460555.155772722
2024-09-02,2024-09-02,2460555.7437079465,2460555.725444775,2460555.7073624837,2460556.1195916706,2460556.1378602334,2460556.155942666
2024-09-03,2024-09-03,2460556.7430292577,2460556.724799704,2460556.7067435374,2460557.1198166637,2460557.1380525623,2460557.156110178
2024-09-04,2024-09-04,2460557.7423485066,2460557.7241517073,2460557.7061208687,2460558.120037583,2460558.1382417437,2460558.1562753394
2024-09-05,2024-09-05,2460558.7416660017,2460558.723501074,2460558.705494749,2460559.1202544877,2460559.138427851,2460559.156438238
2024-09-06,2024-09-06,2460559.740984752,2460559.722848095,2460559.7048654514,2460560.1204674453,2460560.1386109656,2460560.15659897
2024-09-07,2024-09-07,2460560.740302467,2460560.722193066,2460560.704233255,2460561.1206765333,2460561.138791178,2460561.1567576383
2024-09-08,2024-09-08,2460561.7396192183,2460561.721536285,2460561.7035984425,2460562.120881839,2460562.138968587,2460562.1569143557
2024-09-09,2024-09-09,2460562.738935322,2460562.7208797266,2460562.702961302,2460563.1210834603,2460563.1391433007,2460563.1570692416
2024-09-10,2024-09-10,2460563.738251099,2460563.720222075,2460563.702322126,2460564.121281504,2460564.1393154366,2460564.1572224237
2024-09-11,2024-09-11,2460564.7375668725,2460564.7195634665,2460564.701681213,2460565.12147609,2460565.1394851217,2460565.1573740393
2024-09-12,2024-09-12,2460565.736882972,2460565.718904216,2460565.701039374,2460566.121667348,2460566.1396524943,2460566.157524236
2024-09-13,2024-09-13,2460566.7361997305,2460566.7182446434,2460566.7003969,2460567.121855422,2460567.139817706,2460567.1576731736
2024-09-14,2024-09-14,2460567.735517488,2460567.7175850775,2460567.699753512,2460568.1220404725,2460568.139980921,2460568.1578208795
2024-09-15,2024-09-15,2460568.7348367707,2460568.716925853,2460568.699109536,2460569.1222226773,2460569.140142324,2460569.157967652
2024-09-16,2024-09-16,2460569.734159444,2460569.7162673124,2460569.698465307,2460570.122402234,2460570.140302115,2460570.158113767
2024-09-17,2024-09-17,2460570.733484019,2460570.715609805,2460570.6978211645,2460571.1225793585,2460571.1404605135,2460571.1582594477
2024-09-18,2024-09-18,2460571.732810856,2460571.7149536842,2460571.697177456,2460572.1227542837,2460572.1406177543,2460572.1584049314
2024-09-19,2024-09-19,2460572.732140316,2460572.7143000267,2460572.6965345307,2460573.1229272494,2460573.140774078,2460573.158550463
2024-09-20,2024-09-20,2460573.73147276,2460573.713648649,2460573.6958927377,2460574.123098496,2460574.1409297264,2460574.1586962854
2024-09-21,2024-09-21,2460574.7308085435,2460574.712999592,2460574.6952524236,2460575.123268255,2460575.14108493,2460575.1588426316
2024-09-22,2024-09-22,2460575.7301480174,2460575.7123532016,2460575.694613939,2460576.123436745,2460576.141239907,2460576.15898972
2024-09-23,2024-09-23,2460576.729491522,2460576.711709815,2460576.6939779143,2460577.1236041686,2460577.141394859,2460577.1591377542
2024-09-24,2024-09-24,2460577.7288393895,2460577.7110697604,2460577.693344259,2460578.1237707166,2460578.1415499756,2460578.159286922
2024-09-25,2024-09-25,2460578.728191941,2460578.7104333574,2460578.6927132905,2460579.123936568,2460579.1417054334,2460579.1594374003
2024-09-26,2024-09-26,2460579.727550383,2460579.7098009153,2460579.6920853183,2460580.124101894,2460580.1418614006,2460580.1595893567
2024-09-27,2024-09-27,2460580.7269139923,2460580.709172738,2460580.6914606444,2460581.1242667306,2460581.14201804,2460581.1597429514
2024-09-28,2024-09-28,2460581.726283059,2460581.708549119,2460581.690839566,2460582.1244313293,2460582.142175508,2460582.159898339
2024-09-29,2024-09-29,2460582.725657874,2460582.7079303986,2460582.690222373,2460583.1245959247,2460583.142333958,2460583.160055668
2024-09-30,2024-09-30,2460583.7250387203,2460583.707316943,2460583.689609354,2460584.124760672,2460584.1424935395,2460584.160215086
2024-10-01,2024-10-01,2460584.7244258774,2460584.7067087907,2460584.6890007914,2460585.1249257238,2460585.1426543994,2460585.1603767336
2024-10-02,2024-10-02,2460585.7238196195,2460585.70610622,2460585.6883969656,2460586.1250912305,2460586.1428166833,2460586.160540752
2024-10-03,2024-10-03,2460586.7232202147,2460586.705509505,2460586.6877980875,2460587.125257343,2460587.1429805337,2460587.160707277
2024-10-04,2024-10-04,2460587.7226279294,2460587.7049189173,2460587.687204182,2460588.12542421,2460588.143146093,2460588.1608764436
2024-10-05,2024-10-05,2460588.7220430262,2460588.7043347266,2460588.686615747,2460589.1255919808,2460589.1433135015,2460589.161048386
2024-10-06,2024-10-06,2460589.7214657664,2460589.7037572004,2460589.686033058,2460590.125760806,2460590.1434829007,2460590.1612232346
2024-10-07,2024-10-07,2460590.720896466,2460590.703186606,2460590.6854563914,2460591.1259308355,2460591.1436544303,2460591.161401123
2024-10-08,2024-10-08,2460591.7203352205,2460591.70262321,2460591.684886023,2460592.1261022217,2460592.1438282332,2460592.161582181
2024-10-09,2024-10-09,2460592.7197822896,2460592.7020672793,2460592.68432223,2460593.12627512,2460593.1440044516,2460593.1617665426
2024-10-10,2024-10-10,2460593.7192379325,2460593.7015190814,2460593.683765292,2460594.126449688,2460594.1441832315,2460594.161954341
2024-10-11,2024-10-11,2460594.7187024113,2460594.700978593,2460594.683215491,2460595.126626088,2460595.1443647835,2460595.162145714
2024-10-12,2024-10-12,2460595.7181759886,2460595.7004461735,2460595.682673113,2460596.126804491,2460596.144549326,2460596.162340805
2024-10-13,2024-10-13,2460596.717658932,2460596.699922233,2460596.682138449,2460597.126985077,2460597.1447369372,2460597.162539766
2024-10-14,2024-10-14,2460597.7171515124,2460597.699407057,2460597.681611797,2460598.127168037,2460598.1449277946,2460598.162742759
2024-10-15,2024-10-15,2460598.7166540064,2460598.698900937,2460598.681093264,2460599.127353578,2460599.1451220885,2460599.1629499593
2024-10-16,2024-10-16,2460599.716166694,2460599.69840417,2460599.680582635,2460600.127541917,2460600.145320021,2460600.163161553
2024-10-17,2024-10-17,2460600.7156898594,2460600.6979170567,2460600.6800808827,2460601.127733281,2460601.145521802,2460601.1633777325
