starname,ra,dec,nights_observable
noname_234,218.42696629213484,-86.0,0
noname_235,222.47191011235955,-86.0,0
noname_236,226.51685393258427,-86.0,0
noname_237,230.56179775280899,-86.0,0
noname_238,234.6067415730337,-86.0,0
noname_239,238.65168539325845,-86.0,0
noname_240,242.69662921348316,-86.0,0
noname_241,246.74157303370788,-86.0,0
noname_242,250.7865168539326,-86.0,0
noname_243,254.8314606741573,-86.0,0
noname_244,258.87640449438203,-86.0,0
noname_245,262.92134831460675,-86.0,0
noname_246,266.96629213483146,-86.0,0
noname_247,271.0112359550562,-86.0,0
noname_248,275.0561797752809,-86.0,0
noname_249,279.1011235955056,-86.0,0
noname_250,283.14606741573033,-86.0,0
noname_251,287.19101123595505,-86.0,0
noname_252,291.23595505617976,-86.0,0
noname_253,295.2808988764045,-86.0,0
noname_254,299.3258426966292,-86.0,0
noname_255,303.37078651685397,-86.0,0
noname_256,307.4157303370787,-86.0,0
noname_257,311.4606741573034,-86.0,0
noname_258,315.5056179775281,-86.0,0
noname_259,319.55056179775283,-86.0,0
noname_260,323.59550561797755,-86.0,0
noname_261,327.64044943820227,-86.0,0
noname_262,331.685393258427,-86.0,0
noname_263,335.7303370786517,-86.0,0
noname_264,339.7752808988764,-86.0,0
noname_265,343.82022471910113,-86.0,0
noname_266,347.86516853932585,-86.0,0
noname_267,351.91011235955057,-86.0,0
noname_268,355.9550561797753,-86.0,0
noname_269,360.0,-86.0,0
noname_270,0.0,-84.0,0
noname_271,4.044943820224719,-84.0,0
noname_272,8.089887640449438,-84.0,0
noname_273,12.134831460674157,-84.0,0
noname_274,16.179775280898877,-84.0,0
noname_275,20.224719101123597,-84.0,0
noname_276,24.269662921348313,-84.0,0
noname_277,28.314606741573034,-84.0,0
noname_278,32.359550561797754,-84.0,0
noname_279,36.40449438202247,-84.0,0
noname_280,40.449438202247194,-84.0,0
noname_281,44.49438202247191,-84.0,0
noname_282,48.53932584269663,-84.0,0
noname_283,52.58426966292135,-84.0,0
noname_284,56.62921348314607,-84.0,0
noname_285,60.67415730337079,-84.0,0
noname_286,64.71910112359551,-84.0,0
noname_287,68.76404494382022,-84.0,0
noname_288,72.80898876404494,-84.0,0
noname_289,76.85393258426967,-84.0,0
noname_290,80.89887640449439,-84.0,0
noname_291,84.9438202247191,-84.0,0
noname_292,88.98876404494382,-84.0,0
noname_293,93.03370786516854,-84.0,0
noname_294,97.07865168539325,-84.0,0
noname_295,101.12359550561798,-84.0,0
noname_296,105.1685393258427,-84.0,0
noname_297,109.21348314606742,-84.0,0
noname_298,113.25842696629213,-84.0,0
noname_299,117.30337078651685,-84.0,0
noname_300,121.34831460674158,-84.0,0
noname_301,125.3932584269663,-84.0,0
noname_302,129.43820224719101,-84.0,0
noname_303,133.48314606741573,-84.0,0
noname_304,137.52808988764045,-84.0,0
noname_305,141.57303370786516,-84.0,0
noname_306,145.61797752808988,-84.0,0
noname_307,149.6629213483146,-84.0,0
noname_308,153.70786516853934,-84.0,0
noname_309,157.75280898876406,-84.0,0
noname_310,161.79775280898878,-84.0,0
noname_311,165.8426966292135,-84.0,0
noname_312,169.8876404494382,-84.0,0
noname_313,173.93258426966293,-84.0,0
noname_314,177.97752808988764,-84.0,0
noname_315,182.02247191011236,-84.0,0
noname_316,186.06741573033707,-84.0,0
noname_317,190.1123595505618,-84.0,0
noname_318,194.1573033707865,-84.0,0
noname_319,198.20224719101125,-84.0,0
noname_320,202.24719101123597,-84.0,0
noname_321,206.2921348314607,-84.0,0
noname_322,210.3370786516854,-84.0,0
noname_323,214.38202247191012,-84.0,0
noname_324,218.42696629213484,-84.0,0
noname_325,222.47191011235955,-84.0,0
noname_326,226.51685393258427,-84.0,0
noname_327,230.56179775280899,-84.0,0
noname_328,234.6067415730337,-84.0,0
noname_329,238.65168539325845,-84.0,0
noname_330,242.69662921348316,-84.0,0
noname_331,246.74157303370788,-84.0,0
noname_332,250.7865168539326,-84.0,0
noname_333,254.8314606741573,-84.0,0
noname_334,258.87640449438203,-84.0,0
noname_335,262.92134831460675,-84.0,0
noname_336,266.96629213483146,-84.0,0
noname_337,271.0112359550562,-84.0,0
noname_338,275.0561797752809,-84.0,0
noname_339,279.1011235955056,-84.0,0
noname_340,283.14606741573033,-84.0,0
noname_341,287.19101123595505,-84.0,0
noname_342,291.23595505617976,-84.0,0
noname_343,295.2808988764045,-84.0,0
noname_344,299.3258426966292,-84.0,0
noname_345,303.37078651685397,-84.0,0
noname_346,307.4157303370787,-84.0,0
noname_347,311.4606741573034,-84.0,0
noname_348,315.5056179775281,-84.0,0
