starname,program_code,ra,dec,vmag,teff,jmag,pmra,pmdec,gaia_id,exptime,n_exp,n_intra_max,n_intra_min,n_inter_max,tau_intra,tau_inter,gmag
106270,LIBR,183.40491184393200,-9.513570392151880,7.4,5965,6.2,-98.94,-42.33,Gaia DR3 3581292685166588672,119,1,1,1,1,0,1,7.4
106314,LIBR,183.48198250236500,2.2601302772988200,6.7,5004,5.4,-90.77,-20.01,Gaia DR3 3701146255822139136,66,1,1,1,1,0,1,6.7
106421,LIBR,183.61453102209400,23.66061310103190,7.2,5823,6.2,-20.04,-135.59,Gaia DR3 4001709441585879296,96,1,1,1,1,0,1,7.2
107211,LIBR,184.8525734070740,39.624754104098500,8.2,5732,7.2,-145.11,12.37,Gaia DR3 1533199425118728960,276,1,1,1,1,0,1,8.2
107181,LIBR,184.86420545741900,-26.107820818626800,8.3,5580,7.2,59.28,-100.13,Gaia DR3 3476529086968390912,286,1,1,1,1,0,1,8.3
108189,LIBR,186.41873266669500,-0.2820603936313550,7.5,5191,6.3,-81.41,26.49,Gaia DR3 3696625751204285568,140,1,1,1,1,0,1,7.5
108351,LIBR,186.75989398543400,-22.389494381870700,7.8,6078,6.9,-125.66,31.33,Gaia DR3 3513498511889345408,169,1,1,1,1,0,1,7.8
108863,LIBR,187.5825968940890,21.94809466311530,7.5,4827,6.0,-75.28,-33.58,Gaia DR3 3952692457305436800,133,1,1,1,1,0,1,7.5
108942,LIBR,187.6729350577480,50.9736954171502,7.8,5698,6.8,-225.63,-189.36,Gaia DR3 1568731380323069696,152,1,1,1,1,0,1,7.8
HIP61205,LIBR,188.1294032740310,35.331152844114000,9.4,5685,8.4,-11.96,-10.1,Gaia DR3 1518264346362000256,899,1,1,1,1,0,1,9.4
109159,LIBR,188.1712868012020,-17.220623500999300,7.8,5292,6.5,-108.69,13.1,Gaia DR3 3517300180717085568,190,1,1,1,1,0,1,7.8
109218,LIBR,188.28459246932500,1.0437576851697200,7.9,5275,6.6,-98.34,-53.03,Gaia DR3 3697030096605291392,216,1,1,1,1,0,1,7.9
